"seq.name"	"rat.id"	"barcode"	"read.length"	"mean.read.accur"	"median.read.accur"	"sequence.run"	"subject.id"	"percent.ident"	"align.length"	"mismatches"	"gap.opens"	"query.start"	"query.end"	"subject.start"	"subject.end"	"bit.score"	"subject.descr"	"species"	"blast.genus"	"readl.alignl.ratio"	"megan.kingdom"	"megan.phylum"	"megan.class"	"megan.order"	"megan.family"	"megan.genus"
"808f7412-7196-4211-910a-8dca01d57721 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=396 ch=479 start_time=2017-01-26T00:26:19Z barcode=barcode12"	"AP8"	"JNB12"	448	0.916140949305465	0.96018928294465	"January"	"gi|1016880301|ref|NC_029855.1|"	86.48	392	53	28	73	445	180064	179682	405.537	"Cannabis sativa mitochondrion: complete genome"	"Cannabis sativa"	"Cannabis"	0.875	"2759"	"35493"	NA	NA	NA	NA
"9ebf6ce8-686b-417a-9694-a47010d4036e runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3767 ch=47 start_time=2017-01-26T18:37:55Z barcode=barcode12"	"AP8"	"JNB12"	461	0.882247936509621	0.936904265551981	"January"	"gi|1189127736|ref|NC_029772.2|"	91.87	283	23	13	66	336	98283082	98282801	383.377	"Arachis duranensis cultivar V14167 chromosome A01: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.613882863340564	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"de58230c-a7ec-4d10-9f50-d7188b960bdf runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=318 ch=47 start_time=2017-01-26T00:30:17Z barcode=barcode12"	"AP8"	"JNB12"	435	0.885936629084987	0.936904265551981	"January"	"gi|744792869|gb|KN715724.1|"	77.98	386	85	44	70	430	2675077	2674711	202.405	"Arachis ipaensis cultivar K30076 chromosome B07 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.88735632183908	"2759"	"35493"	NA	"72025"	"3803"	NA
"a57dcc33-ea1e-437e-982b-675db0b2f011 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4974 ch=47 start_time=2017-01-26T21:48:42Z barcode=barcode12"	"AP8"	"JNB12"	1002	0.885577478062266	0.936904265551981	"January"	"gi|744792730|gb|KN715862.1|"	87.49	903	113	70	80	945	42940	42071	977.998	"Arachis ipaensis cultivar K30076 chromosome B10 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.901197604790419	"2759"	"35493"	NA	NA	NA	NA
"22cdcff1-88d2-4e8d-95ec-1ef31853c4b6 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=968 ch=47 start_time=2017-01-26T08:32:10Z barcode=barcode12"	"AP8"	"JNB12"	421	0.84073747087023	0.9	"January"	"gi|744793080|gb|KN715513.1|"	83.84	198	32	20	66	249	3751289	3751480	171.012	"Arachis ipaensis cultivar K30076 chromosome B02 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.470308788598575	"2759"	"35493"	NA	"72025"	"3803"	NA
"abad4155-e446-4f33-965f-38384299bc46 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2541 ch=482 start_time=2017-01-26T03:20:14Z barcode=barcode12"	"AP8"	"JNB12"	1044	0.910322205457388	0.949881276637273	"January"	"gi|810932727|ref|NC_026786.1|"	90.23	1003	98	55	72	1041	21426	20446	1258.69	"Carludovica palmata voucher K:Chase: M.W.:14836 chloroplast: complete genome"	"Carludovica palmata"	"Carludovica"	0.960727969348659	"2759"	"35493"	"4447"	NA	NA	NA
"8bfa972c-6928-4e13-8620-dc7f7ab72b43 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2867 ch=485 start_time=2017-01-26T04:38:57Z barcode=barcode12"	"AP8"	"JNB12"	527	0.90656032699604	0.96018928294465	"January"	"gi|372450205|ref|NC_016740.1|"	89.68	475	49	31	76	527	363705	363239	577.275	"Phoenix dactylifera mitochondrion: complete genome"	"Phoenix dactylifera"	"Phoenix"	0.901328273244782	"2759"	"35493"	NA	NA	NA	NA
"b383a94a-3e92-4e9a-b0fc-5f65a6a0b42a runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1385 ch=486 start_time=2017-01-26T01:18:39Z barcode=barcode12"	"AP8"	"JNB12"	718	0.904148403478746	0.949881276637273	"January"	"gi|1191731226|ref|XR_002359833.1|"	90.62	160	15	7	73	228	68	224	206.098	"PREDICTED: Arachis ipaensis uncharacterized LOC110270374 (LOC110270374): ncRNA"	"Arachis ipaensis"	"Arachis"	0.222841225626741	"2759"	"35493"	NA	"72025"	"3803"	NA
"56215da1-cf3a-4ec4-a534-905c4ddba83d runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4961 ch=488 start_time=2017-01-26T11:21:17Z barcode=barcode12"	"AP8"	"JNB12"	563	0.887851787459837	0.936904265551981	"January"	"gi|1021077625|ref|NC_029951.1|"	88.21	526	62	49	71	561	108800	109311	582.815	"Trithrinax brasiliensis plastid: complete genome"	"Trithrinax brasiliensis"	"Trithrinax"	0.934280639431616	"2759"	"35493"	"4447"	NA	NA	NA
"b64fb9cb-e095-4e7c-b847-1626a6169af7 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=715 ch=490 start_time=2017-01-26T01:30:26Z barcode=barcode12"	"AP8"	"JNB12"	387	0.900352400926936	0.936904265551981	"January"	"gi|748404903|gb|KN725561.1|"	89.6	327	34	23	67	379	684332	684015	394.457	"Arachis duranensis cultivar V14167 chromosome A02 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.844961240310077	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"3d275e74-726a-4077-9797-02d5682d759f runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3743 ch=492 start_time=2017-01-26T03:31:28Z barcode=barcode12"	"AP8"	"JNB12"	349	0.915423327317151	0.96018928294465	"January"	"gi|1189127736|ref|NC_029772.2|"	92.48	226	17	9	69	293	26923310	26923527	315.051	"Arachis duranensis cultivar V14167 chromosome A01: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.64756446991404	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"30438040-e29c-49bc-b201-b6ef09b0f784 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=500 ch=494 start_time=2017-01-26T00:31:32Z barcode=barcode12"	"AP8"	"JNB12"	376	0.866492879494057	0.920567176527572	"January"	"gi|748406016|gb|KN724448.1|"	86.79	159	21	11	69	224	683407	683557	167.319	"Arachis duranensis cultivar V14167 chromosome A10 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.422872340425532	"2759"	"35493"	NA	"72025"	"3803"	NA
"18e2ca1c-6a51-4128-accd-33988c2e847a runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=10498 ch=498 start_time=2017-01-26T15:59:15Z barcode=barcode12"	"AP8"	"JNB12"	538	0.912167620583016	0.96018928294465	"January"	"gi|402226707|gb|JH798068.1|"	90.37	436	42	18	82	507	537493	537066	556.962	"Botryotinia fuckeliana B05.10 unplaced genomic scaffold B0510_SuperContig_L3_V4: whole genome shotgun sequence"	"Botryotinia fuckeliana"	"Botryotinia"	0.810408921933085	"2759"	"4890"	"147548"	"5178"	"28983"	NA
"97f376db-78ff-44d5-b52b-97b7600e1b2f runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=11870 ch=498 start_time=2017-01-26T18:37:07Z barcode=barcode12"	"AP8"	"JNB12"	479	0.919031306568066	0.96018928294465	"January"	"gi|810932727|ref|NC_026786.1|"	92.2	359	28	16	79	428	31030	30679	494.176	"Carludovica palmata voucher K:Chase: M.W.:14836 chloroplast: complete genome"	"Carludovica palmata"	"Carludovica"	0.749478079331942	"2759"	"35493"	"4447"	"40550"	"25913"	"108410"
"9cceeed6-6a8f-47c6-923b-e8f5ae9a7cc6 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2790 ch=498 start_time=2017-01-26T02:54:02Z barcode=barcode12"	"AP8"	"JNB12"	1537	0.918282816939829	0.96018928294465	"January"	"gi|1099220834|ref|NC_031696.1|"	85.22	690	102	47	473	1135	97971	98640	665.914	"Cocos nucifera mitochondrion: complete genome"	"Cocos nucifera"	"Cocos"	0.448926480156148	"2759"	"35493"	"4447"	NA	NA	NA
"a878b134-5878-4bef-957c-8d214a6f7adc runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2794 ch=498 start_time=2017-01-26T02:54:06Z barcode=barcode12"	"AP8"	"JNB12"	1499	0.887455120847917	0.920567176527572	"January"	"gi|387164694|ref|NC_017840.1|"	85.57	499	72	29	962	1446	43923	44406	496.022	"Spirodela polyrhiza mitochondrion: complete genome"	"Spirodela polyrhiza"	"Spirodela"	0.33288859239493	"2759"	"35493"	"4447"	NA	NA	NA
"faaf9ace-74a4-4279-bc40-dc704f88f171 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3911 ch=498 start_time=2017-01-26T05:03:43Z barcode=barcode12"	"AP8"	"JNB12"	852	0.884575212504993	0.936904265551981	"January"	"gi|810932727|ref|NC_026786.1|"	81.39	677	126	84	194	795	53143	53810	475.709	"Carludovica palmata voucher K:Chase: M.W.:14836 chloroplast: complete genome"	"Carludovica palmata"	"Carludovica"	0.794600938967136	"2759"	"35493"	"4447"	"40550"	"25913"	NA
"16a01201-9c0b-46a1-8d5c-b36219bbaece runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=8814 ch=498 start_time=2017-01-26T10:03:31Z barcode=barcode12"	"AP8"	"JNB12"	493	0.929976607932685	0.968377223398316	"January"	"gi|960380684|gb|KT302237.1|"	93.3	433	29	19	67	486	717	1143	621.595	"Algidia interrupta voucher MCZ:IZ:136202 18S ribosomal RNA gene: partial sequence"	"Algidia interrupta"	"Algidia"	0.878296146044625	"2759"	"6656"	"6854"	"43271"	NA	NA
"54274b48-d3c4-4fe5-8228-e4b9f2bd1116 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=651 ch=49 start_time=2017-01-26T00:39:58Z barcode=barcode12"	"AP8"	"JNB12"	741	0.882839705364403	0.936904265551981	"January"	"gi|1111428376|ref|NC_032012.1|"	88.69	442	50	35	90	503	10728818	10728384	507.102	"Lupinus angustifolius cultivar Tanjil chromosome LG04: LupAngTanjil_v1.0: whole genome shotgun sequence"	"Lupinus angustifolius"	"Lupinus"	0.596491228070175	"2759"	"35493"	NA	NA	NA	NA
"26800b90-ba38-4155-a5d8-ce27613efadb runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=161 ch=4 start_time=2017-01-26T00:18:55Z barcode=barcode12"	"AP8"	"JNB12"	581	0.93097899026094	0.968377223398316	"January"	"gi|748405247|gb|KN725217.1|"	95.51	245	11	8	73	313	484802	485042	385.223	"Arachis duranensis cultivar V14167 chromosome A07 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.421686746987952	"2759"	"35493"	NA	"72025"	"3803"	NA
"5796cf7d-9457-4c13-bec9-61480ee060a4 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3026 ch=501 start_time=2017-01-26T03:19:54Z barcode=barcode12"	"AP8"	"JNB12"	560	0.894679237014253	0.949881276637273	"January"	"gi|748406004|gb|KN724460.1|"	90.15	203	20	10	71	268	408125	407928	255.958	"Arachis duranensis cultivar V14167 chromosome A01 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.3625	"2759"	"35493"	NA	"72025"	"3803"	NA
"7a44b5c8-728c-434d-aed1-e652a2628ee8 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=7555 ch=501 start_time=2017-01-26T10:39:30Z barcode=barcode12"	"AP8"	"JNB12"	955	0.864220308436625	0.920567176527572	"January"	"gi|810932418|ref|NC_026772.1|"	81.91	868	157	100	89	891	119544	120376	641.908	"Cypripedium formosanum chloroplast: complete genome"	"Cypripedium formosanum"	"Cypripedium"	0.908900523560209	"2759"	"35493"	NA	NA	NA	NA
"534185d3-2742-4bd3-a326-2b2fb7f8b9a1 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=9463 ch=501 start_time=2017-01-26T16:39:12Z barcode=barcode12"	"AP8"	"JNB12"	725	0.914329108795443	0.96018928294465	"January"	"gi|4096683|gb|U37003.1|EDU37003"	93.15	584	40	24	74	644	1236	1808	839.499	"Equitius doriae 18S ribosomal RNA gene: complete sequence"	"Equitius doriae"	"Equitius"	0.80551724137931	"2759"	"6656"	"6854"	"43271"	NA	NA
"08b1673d-d943-4186-b11f-4980ef2833d2 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2470 ch=502 start_time=2017-01-26T22:19:56Z barcode=barcode12"	"AP8"	"JNB12"	435	0.866929294839741	0.920567176527572	"January"	"gi|1189127735|ref|NC_029773.2|"	86.5	311	42	33	67	349	43071849	43071544	311.357	"Arachis duranensis cultivar V14167 chromosome A02: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.714942528735632	"2759"	"35493"	NA	NA	NA	NA
"968eec95-da21-46eb-9e48-86a8ec4a5bc2 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1185 ch=503 start_time=2017-01-26T10:54:18Z barcode=barcode12"	"AP8"	"JNB12"	551	0.907596178330177	0.96018928294465	"January"	"gi|1189127728|ref|NC_029780.2|"	86.55	342	46	19	68	397	107981899	107981565	359.37	"Arachis duranensis cultivar V14167 chromosome A09: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.620689655172414	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"4984dc39-1dc7-44d6-90ed-9947d8882392 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2542 ch=503 start_time=2017-01-26T18:23:45Z barcode=barcode12"	"AP8"	"JNB12"	470	0.844991410070735	0.9	"January"	"gi|1128266385|ref|NC_032698.1|"	80.18	328	65	37	104	409	115873	116185	211.638	"Anemarrhena asphodeloides chloroplast: complete genome"	"Anemarrhena asphodeloides"	"Anemarrhena"	0.697872340425532	"2759"	"35493"	"4447"	NA	NA	NA
"7dd4307d-d309-4161-9477-d54e9cdb079a runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3686 ch=503 start_time=2017-01-26T21:06:46Z barcode=barcode12"	"AP8"	"JNB12"	1875	0.883093797871891	0.920567176527572	"January"	"gi|32527524|gb|AY210812.1|"	83.86	830	134	70	64	847	3742	2937	726.854	"Cormocephalus hartmeyeri 28S ribosomal RNA gene: partial sequence"	"Cormocephalus hartmeyeri"	"Cormocephalus"	0.442666666666667	"2759"	"6656"	"7540"	"41361"	NA	NA
"87266a06-8919-4daa-9c4b-8e1061739798 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1147 ch=505 start_time=2017-01-26T02:09:51Z barcode=barcode12"	"AP8"	"JNB12"	427	0.899026747482949	0.949881276637273	"January"	"gi|387866040|ref|NC_016743.2|"	85.99	257	36	21	72	314	2311	2560	255.958	"Lotus japonicus mitochondrion: complete genome"	"Lotus japonicus"	"Lotus"	0.601873536299766	"2759"	"35493"	NA	NA	NA	NA
"07e373a1-6141-4778-9e9f-e44b094ac78a runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=120 ch=506 start_time=2017-01-26T00:11:23Z barcode=barcode12"	"AP8"	"JNB12"	390	0.912049931392335	0.949881276637273	"January"	"gi|744793154|gb|KN715439.1|"	93.22	118	8	5	226	339	714084	713968	169.165	"Arachis ipaensis cultivar K30076 chromosome B01 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.302564102564103	"2759"	"35493"	NA	"72025"	NA	NA
"3a2ad812-c988-41de-81a8-4eca4f66e36d runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1839 ch=506 start_time=2017-01-26T08:12:39Z barcode=barcode12"	"AP8"	"JNB12"	600	0.80329241719038	0.841510680753889	"January"	"gi|744792904|gb|KN715689.1|"	79.5	239	49	26	127	353	2195144	2195368	147.006	"Arachis ipaensis cultivar K30076 chromosome B06 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.398333333333333	"2759"	"35493"	NA	"72025"	"3803"	NA
"95487e84-97d8-4e45-b56b-9420bd97a8c7 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4564 ch=507 start_time=2017-01-26T15:18:10Z barcode=barcode12"	"AP8"	"JNB12"	588	0.848007017617049	0.9	"January"	"gi|744792832|gb|KN715761.1|"	78.69	244	52	24	78	304	506418	506654	141.466	"Arachis ipaensis cultivar K30076 chromosome B08 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.414965986394558	"2759"	"35493"	NA	"72025"	"3803"	NA
"6631c3e1-3417-4172-b56d-f128e63467b0 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1958 ch=508 start_time=2017-01-26T02:06:11Z barcode=barcode12"	"AP8"	"JNB12"	446	0.924557958784447	0.968377223398316	"January"	"gi|748404594|gb|KN725870.1|"	83.59	323	53	18	70	387	1057173	1056864	287.351	"Arachis duranensis cultivar V14167 chromosome A05 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.724215246636771	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"0816aebe-9efa-40f7-b737-609bcc375ec5 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3393 ch=508 start_time=2017-01-26T05:18:09Z barcode=barcode12"	"AP8"	"JNB12"	506	0.895214174292232	0.936904265551981	"January"	"gi|748405062|gb|KN725402.1|"	84.96	339	51	24	81	403	183781	183451	322.437	"Arachis duranensis cultivar V14167 chromosome A09 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.6699604743083	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"02c2c55a-8e28-4842-879a-579355a740be runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=908 ch=509 start_time=2017-01-26T02:09:03Z barcode=barcode12"	"AP8"	"JNB12"	451	0.870766282219194	0.936904265551981	"January"	"gi|973291011|gb|KU341314.1|"	91.67	204	17	10	69	269	3118	3314	274.424	"Deroceras reticulatum isolate N_derr_ci 5.8S ribosomal RNA gene: partial sequence; internal transcribed spacer 2: complete sequence; and 28S ribosomal RNA gene: partial sequence"	"Deroceras reticulatum"	"Deroceras"	0.452328159645233	"2759"	NA	NA	NA	NA	NA
"bb5bbf9e-096f-4fe9-acd7-de92d55f35cb runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=548 ch=509 start_time=2017-01-26T01:02:47Z barcode=barcode12"	"AP8"	"JNB12"	3069	0.933749826079948	0.968377223398316	"January"	"gi|402226704|gb|JH798071.1|"	88.36	3093	360	203	77	3059	678820	681819	3530.07	"Botryotinia fuckeliana B05.10 unplaced genomic scaffold B0510_SuperContig_N3: whole genome shotgun sequence"	"Botryotinia fuckeliana"	"Botryotinia"	1.00782013685239	"2759"	"4890"	"147548"	"5178"	"28983"	NA
"9a00aeea-276f-413c-98e5-a75539e9ee04 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1095 ch=52 start_time=2017-01-26T02:00:29Z barcode=barcode12"	"AP8"	"JNB12"	456	0.848717723304492	0.9	"January"	"gi|1189127220|ref|NC_029788.2|"	87.28	173	22	3	111	282	66213091	66212921	195.019	"Arachis ipaensis cultivar K30076 chromosome B04: Araip1.1: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.379385964912281	"2759"	"35493"	NA	"72025"	"3803"	NA
"99874587-79f4-4a87-a148-1a14decd4a60 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2008 ch=53 start_time=2017-01-26T11:05:55Z barcode=barcode12"	"AP8"	"JNB12"	752	0.914589815537444	0.96018928294465	"January"	"gi|1099220834|ref|NC_031696.1|"	90.83	349	32	19	338	679	250640	250304	449.856	"Cocos nucifera mitochondrion: complete genome"	"Cocos nucifera"	"Cocos"	0.464095744680851	"2759"	"35493"	"4447"	"40551"	"4710"	NA
"65d829a2-8327-4335-963d-48e21ab4892c runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=12614 ch=54 start_time=2017-01-26T15:59:46Z barcode=barcode12"	"AP8"	"JNB12"	633	0.8711174795069	0.920567176527572	"January"	"gi|401891870|gb|JH795964.1|"	84.5	516	80	47	94	578	783315	782816	466.476	"Botryotinia fuckeliana T4 unplaced genomic scaffold BcT4_SuperSuperContig_D4_V3__V4: whole genome shotgun sequence"	"Botryotinia fuckeliana"	"Botryotinia"	0.815165876777251	"2759"	"4890"	"147548"	"5178"	"28983"	NA
"64e2bf59-2a9f-47d4-b94e-af76f142f51b runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1899 ch=57 start_time=2017-01-26T04:35:22Z barcode=barcode12"	"AP8"	"JNB12"	1283	0.936922343886411	0.974881135684904	"January"	"gi|810932727|ref|NC_026786.1|"	88.16	929	110	62	333	1224	4490	3587	1050.02	"Carludovica palmata voucher K:Chase: M.W.:14836 chloroplast: complete genome"	"Carludovica palmata"	"Carludovica"	0.724084177708496	"2759"	"35493"	"4447"	"40550"	"25913"	"108410"
"3a178f30-d350-477e-bb67-3047977806b8 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=29 ch=57 start_time=2017-01-25T23:58:58Z barcode=barcode12"	"AP8"	"JNB12"	606	0.8356961109269	0.874107458820583	"January"	"gi|744793140|gb|KN715453.1|"	78.92	465	98	53	173	606	92041	91599	267.038	"Arachis ipaensis cultivar K30076 chromosome B01 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.767326732673267	"2759"	"35493"	NA	"72025"	"3803"	NA
"3854ef7b-3c0e-43fe-83ef-14ac82b74573 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1073 ch=5 start_time=2017-01-26T01:51:23Z barcode=barcode12"	"AP8"	"JNB12"	698	0.88067951163422	0.936904265551981	"January"	"gi|224365609|ref|NC_012119.1|"	86.48	281	38	21	71	343	458235	458502	289.198	"Vitis vinifera mitochondrion: complete genome"	"Vitis vinifera"	"Vitis"	0.402578796561605	"2759"	"35493"	NA	"403667"	"3602"	NA
"d9567c4c-4e73-4df2-bf8c-11c14ea9c23c runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=13 ch=60 start_time=2017-01-25T23:58:23Z barcode=barcode12"	"AP8"	"JNB12"	2998	0.918435312499712	0.949881276637273	"January"	"gi|402226710|gb|JH798065.1|"	88.96	1522	168	100	1563	2996	1503570	1505079	1788.68	"Botryotinia fuckeliana B05.10 unplaced genomic scaffold B0510_SuperContig_A4_B_V5: whole genome shotgun sequence"	"Botryotinia fuckeliana"	"Botryotinia"	0.507671781187458	"2759"	"4890"	"147548"	"5178"	"28983"	NA
"652f80a9-5648-4ded-9952-e986fba44d85 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2560 ch=60 start_time=2017-01-26T03:56:32Z barcode=barcode12"	"AP8"	"JNB12"	434	0.872039725391763	0.920567176527572	"January"	"gi|1189127733|ref|NC_029775.2|"	84.56	259	40	16	73	318	40066868	40066613	243.031	"Arachis duranensis cultivar V14167 chromosome A04: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.596774193548387	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"dba09dc3-0e07-47e8-9d2d-035b99184b18 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2600 ch=60 start_time=2017-01-26T03:57:55Z barcode=barcode12"	"AP8"	"JNB12"	571	0.895067807913899	0.949881276637273	"January"	"gi|744793157|gb|KN715436.1|"	94.03	201	12	8	309	505	1177104	1176908	298.431	"Arachis ipaensis cultivar K30076 chromosome B01 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.352014010507881	"2759"	"35493"	NA	"72025"	"3803"	NA
"3987eefa-8fc2-4d3f-93ee-b2355fc14e8c runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=781 ch=60 start_time=2017-01-26T01:21:30Z barcode=barcode12"	"AP8"	"JNB12"	504	0.853398353793857	0.9	"January"	"gi|748405887|gb|KN724577.1|"	93.55	124	8	4	71	191	948546	948668	182.092	"Arachis duranensis cultivar V14167 chromosome A07 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.246031746031746	"2759"	"35493"	NA	"72025"	NA	NA
"34837b41-1630-44c7-a38e-48e112123d3b runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=236 ch=61 start_time=2017-01-26T00:15:13Z barcode=barcode12"	"AP8"	"JNB12"	436	0.903968360958175	0.949881276637273	"January"	"gi|748406020|gb|KN724444.1|"	85.34	382	56	37	73	433	469949	469584	361.217	"Arachis duranensis cultivar V14167 chromosome A06 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.876146788990826	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"747775e2-a55b-4be6-b9b4-ee92bd4815ca runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4578 ch=61 start_time=2017-01-26T21:14:19Z barcode=barcode12"	"AP8"	"JNB12"	532	0.828977618334285	0.874107458820583	"January"	"gi|402226709|gb|JH798066.1|"	90.65	310	29	16	167	473	1123693	1123989	398.15	"Botryotinia fuckeliana B05.10 unplaced genomic scaffold B0510_SuperContig_C1_V4: whole genome shotgun sequence"	"Botryotinia fuckeliana"	"Botryotinia"	0.582706766917293	"2759"	"4890"	"147548"	"5178"	"28983"	NA
"10c3cf3f-80e5-414a-9301-9afff04387a4 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1301 ch=62 start_time=2017-01-26T01:49:07Z barcode=barcode12"	"AP8"	"JNB12"	316	0.836522210910145	0.874107458820583	"January"	"gi|744792935|gb|KN715658.1|"	86.99	123	16	7	83	200	5030719	5030599	132.232	"Arachis ipaensis cultivar K30076 chromosome B05 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.389240506329114	"2759"	"35493"	NA	"72025"	NA	NA
"452d6dd4-411f-4dfd-86be-f422715670f9 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2640 ch=62 start_time=2017-01-26T04:17:23Z barcode=barcode12"	"AP8"	"JNB12"	597	0.852587087509114	0.9	"January"	"gi|1189127728|ref|NC_029780.2|"	86.5	237	32	20	115	337	94786680	94786450	243.031	"Arachis duranensis cultivar V14167 chromosome A09: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.396984924623116	"2759"	"35493"	NA	"72025"	"3803"	NA
"a277707d-ef23-4710-9147-0fad1c68fd02 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=960 ch=65 start_time=2017-01-26T02:19:14Z barcode=barcode12"	"AP8"	"JNB12"	621	0.845217607674069	0.874107458820583	"January"	"gi|401891878|gb|JH795956.1|"	82.68	589	102	64	71	617	240104	239538	464.629	"Botryotinia fuckeliana T4 unplaced genomic scaffold BcT4_SuperSuperContig_H3_V3__V4: whole genome shotgun sequence"	"Botryotinia fuckeliana"	"Botryotinia"	0.948470209339775	"2759"	"4890"	"147548"	"5178"	"28983"	NA
